cityName,urbanStatus,stateCode,stateName,districtCode,districtName
1 SGM,C.T.,8,Rajasthan,1,Ganganagar
3 STR,C.T.,8,Rajasthan,1,Ganganagar
A.Thirumuruganpoondi,T.P.,33,Tamil Nadu,12,Coimbatore
A.Vellalapatti,T.P.,33,Tamil Nadu,24,Madurai
Aadityana,C.T.,24,Gujarat,11,Porbandar
Aambaliyasan,C.T.,24,Gujarat,4,Mahesana
Aantaliya,C.T.,24,Gujarat,24,Navsari
Aarambhada,C.T.,24,Gujarat,10,Jamnagar
Abhayapuri,T.C.,18,Assam,4,Bongaigaon
Abiramam,T.P.,33,Tamil Nadu,27,Ramanathapuram
Abohar,M.Cl.,3,Punjab,11,Firozpur
Abrama,C.T.,24,Gujarat,25,Valsad
Abu Road,M,8,Rajasthan,19,Sirohi
Achabal,N.A.C.,1,Jammu & Kashmir,6,Anantnag
Achalpur,M.Cl.,27,Maharashtra,7,Amravati
Achampudur,T.P.,33,Tamil Nadu,29,Tirunelveli
Acharapakkam,T.P.,33,Tamil Nadu,3,Kancheepuram
Acharipallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
Achhalda,N.P.,9,Uttar Pradesh,32,Auraiya
Achhnera,M.B.,9,Uttar Pradesh,15,Agra
Achipatti,C.T.,33,Tamil Nadu,12,Coimbatore
Adalaj,C.T.,24,Gujarat,6,Gandhinagar
Adampur,M.Cl.,3,Punjab,4,Jalandhar
Adari,N.P.,9,Uttar Pradesh,62,Mau
Adikaratti,T.P.,33,Tamil Nadu,11,The Nilgiris
Adilabad,M,28,Andhra Pradesh,1,Adilabad
Adiramapattinam,T.P.,33,Tamil Nadu,21,Thanjavur
Adityapatna,C.T.,29,Karnataka,18,Tumkur
Adityapur,N.A.,20,Jharkhand,17,Pashchimi Singhbhum
Adoni,M,28,Andhra Pradesh,21,Kurnool
Adoor,M,32,Kerala,12,Pathanamthitta
Adra,C.T.,19,West Bengal,14,Puruliya
Aduthurai alias Maruthuvakudi,T.P.,33,Tamil Nadu,21,Thanjavur
Adyar,C.T.,29,Karnataka,24,Dakshina Kannada
Afzalgarh,M.B.,9,Uttar Pradesh,3,Bijnor
Afzalpur,T.P.,29,Karnataka,4,Gulbarga
Agar,M,23,Madhya Pradesh,22,Shajapur
Agaram,T.P.,33,Tamil Nadu,13,Dindigul
Agartala,M.Cl.,16,Tripura,1,West Tripura 
Agarwal Mandi,N.P.,9,Uttar Pradesh,8,Baghpat
Agastheeswaram,T.P.,33,Tamil Nadu,30,Kanniyakumari
Agra,M.Corp.,9,Uttar Pradesh,15,Agra
Agra,C.B.,9,Uttar Pradesh,15,Agra
Ahiwara,N.P.,22,Chhattisgarh,10,Durg
Ahmadnagar,M.Cl.,27,Maharashtra,26,Ahmadnagar
Ahmadnagar,C.B.,27,Maharashtra,26,Ahmadnagar
Ahmadpur,C.T.,19,West Bengal,8,Birbhum
Ahmadpur,M.Cl.,27,Maharashtra,28,Latur
Ahmedabad,M.Corp.,24,Gujarat,7,Ahmadabad
Ahmedabad Cantonment,C.B.,24,Gujarat,7,Ahmadabad
Ahmedgarh,M.Cl.,3,Punjab,16,Sangrur
Ahraura,M.B.,9,Uttar Pradesh,69,Mirzapur
Aiho,C.T.,19,West Bengal,6,Maldah 
Ailum,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Air Force Area,C.T.,9,Uttar Pradesh,58,Gorakhpur
